ID,StateName,ClassName,PNGFilename,CollisionFilename
0,Splash,PNGRoom,assets/Splash.png,
1,Instructions,InstructionsScreen,assets/Instructions.png,
2,Start,PNGRoom,assets/Start.png,
3,Elder,PNGRoom,assets/Elder.png,
4,Old,PNGRoom,assets/Old.png,
5,Middle,PNGRoom,assets/Middle.png,
6,Young,PNGRoom,assets/Young.png,
7,College,PNGRoom,assets/College.png,
8,Teen,PNGRoom,assets/Teen.png,
9,Child,DeepThoughtsRoom,assets/Child.png,
10,Special,AhaRoom,assets/Special.png,
11,Dead,PNGRoom,assets/Dead.png,
12,Special2,PNGRoom,assets/Special2.png,
13,Victory,PNGRoom,assets/Victory.png,
