CurrentState,KeyTyped,KeyCode,MouseEvent,ClickableName,MapDirection,NextState
Splash,,,mouseReleased,,,Instructions
Instructions,,,,StartGame,,Start
Start,,,,,N,Elder
Start,,,,,S,Old
Start,,,,,W,Middle
Start,,,,,E,Young
Elder,,,,,S,Start
Elder,,,,,E,College
College,,,,,W,Start
College,,,,,S,Young
Young,,,,,N,College
Young,,,,,W,Start
Old,,,,,N,Start
Old,,,,,W,Teen
Teen,,,,,E,Old
Teen,,,,,N,Middle
Middle,,,,,E,Start
Middle,,,,,S,Teen
Middle,,,,,W,Child
Child,,,,,E,Middle
Child,,,,,W,Special
Special,,,,,E,Child
Special2,,,,,W,Victory
Victory,,,,,E,Special2
Dead,,,,Restart,,Instructions
