ID,StateName,ClassName,PNGFilename,CollisionFilename
0,splashScreen,PNGRoom,assets/splash.png,
1,sacrificeZoneIntroScreen,sacrificeZoneIntroRoom,assets/sacrificeZoneIntro.png,
2,narrativeIntroOneScreen,narrativeIntroOneRoom,assets/narrativeIntroOne.png,
3,sweetfieldMapOneScreen,PNGRoom,assets/sweetfieldMapOne.png,
4,narrativeIntroTwoScreen,narrativeIntroTwoRoom,assets/narrativeIntroTwo.png,
5,sweetfieldMapTwoScreen,PNGRoom,assets/sweetfieldMapTwo.png,
6,instructionsScreen,instructionsRoom,assets/instructions.png,
7,levelOneBasicNeedsScreen,levelOneBasicNeedsRoom,assets/levelOneBasicNeeds.png,assets/levelOneBasicNeeds_cl.csv
8,levelTwoSafetyScreen,levelTwoSafetyRoom,assets/levelTwoSafety.png,assets/levelTwoSafety_cl.csv
9,levelThreeABelongingnessScreen,LevelThreeABelongingnessRoom,assets/levelThreeABelongingness.png,assets/levelThreeABelongingness_cl.csv
10,levelThreeBBelongingnessScreen,PNGRoom,assets/levelThreeBBelongingness.png,
11,levelFourAEsteemScreen,LevelFourAEsteemRoom,assets/levelFourAEsteem.png,assets/levelFourAEsteem_cl.csv
12,levelFourBEsteemScreen,LevelFourBEsteemRoom,assets/levelFourBEsteem.png,assets/levelFourBEsteem_cl.csv
13,levelFiveAKnowledgeScreen,LevelFiveAKnowledgeRoom,assets/levelFiveAKnowledge.png,assets/levelFiveAKnowledge_cl.csv
14,levelFiveBKnowledgeScreen,PNGRoom,assets/levelFiveBKnowledge.png,assets/levelFiveBKnowledge_cl.csv
15,levelSixSelfActualizationScreen,LevelSixSelfActualizationRoom,assets/levelSixSelfActualization.png,
16,levelSevenTranscendenceScreen,PNGRoom,assets/levelSevenTranscendence.png,assets/levelSevenTranscendence_cl.csv
17,levelSevenTranscendenceScreenEdited,PNGRoom,assets/levelSevenTranscendenceEdited.png,assets/levelSevenTranscendenceEdited_cl.csv
18,sweetfieldSavedAScreen,PNGRoom,assets/sweetfieldSavedA.png,assets/sweetfieldSavedA_cl.csv
19,sweetfieldSavedBScreen,sweetfieldSavedBRoom,assets/sweetfieldSavedB.png,
20,narrativeEndingScreen,narrativeEndingRoom,assets/narrativeEnding.png,
21,climateJusticeAllianceScreen,PNGRoom,assets/climateJusticeAlliance.png,
