CurrentState,KeyTyped,KeyCode,MouseEvent,ClickableName,MapDirection,NextState
Splash,,,,InstructButton,,Instructions
Instructions,,,,StartGame,,House
Instructions,,,,BackToSplash2,,Splash
About,,,,BackToSplash1,,Splash
Splash,,,,AboutButton,,About
Map1,,,,,E,Map2
Map1,,,,,S,Map4
Map2,,,,,W,Map1
Map2,,,,,S,Map5
Map2,,,,,E,Map3
Map3,,,,,W,Map2
Map3,,,,,S,Map6
Map4,,,,,N,Map1
Map4,,,,,E,Map5
Map4,,,,,S,Map7
Map5,,,,,N,Map2
Map5,,,,,W,Map4
Map5,,,,,E,Map6
Map5,,,,,S,Map8
Map6,,,,,N,Map3
Map6,,,,,W,Map5
Map6,,,,,S,Map9
Map7,,,,,N,Map4
Map7,,,,,E,Map8
Map7,,,,,S,Map10
Map8,,,,,N,Map5
Map8,,,,,W,Map7
Map8,,,,,E,Map9
Map8,,,,,S,Map11
Map9,,,,,N,Map6
Map9,,,,,W,Map8
Map9,,,,,S,Map12
Map10,,,,,N,Map7
Map10,,,,,E,Map11
Map10,,,,,S,Map13
Map11,,,,,N,Map8
Map11,,,,,W,Map10
Map11,,,,,E,Map12
Map11,,,,,S,Map14
Map12,,,,,N,Map9
Map12,,,,,W,Map11
Map12,,,,,S,Map15
Map13,,,,,N,Map10
Map13,,,,,E,Map14
Map14,,,,,N,Map11
Map14,,,,,W,Map13
Map14,,,,,E,Map15
Map15,,,,,N,Map12
Map15,,,,,W,Map14
House,,,,,S,Map12
Restaurant,,,,,S,Map11
Upstart,,,,,S,Map7
Skyscraper,,,,,S,Map1
CreepDeath,,,,RestartGame,,Reset
BrothelJoin,,,,RestartGame,,Reset
UpstartJoin,,,,RestartGame,,Reset
SalaryJoin,,,,RestartGame,,Reset
SalaryDeath,,,,RestartGame,,Reset
SalaryVictory,,,,RestartGame,,Reset
Skyscraper,,,,SalaryJoinButton,,SalaryJoin
Skyscraper,,,,SalaryAttackButton,,SalaryDeath
Skyscraper,,,,SalaryPowerButton,,SalaryVictory
Brothel,,,,AuntiesButton,,BrothelJoin
Upstart,,,,UpstartButton,,UpstartJoin
Map13,,,,BoatButton,,
